n = 2^10; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(162380, 137472, 248395, 237295); 79100; 1; 34000; 1; 32800; 1
Rect(120052, 331634, 219309, 393626); 67800; 1; 33000; 1; 34800; 1
Rect(33233, 235580, 125522, 240344); 69500; 1; 44800; 1; 34100; 1
Rect(362003, 389978, 370195, 477568); 67000; 1; 51900; 1; 34300; 1
Rect(401067, 202832, 490980, 228187); 66700; 1; 33900; 1; 33300; 1
Rect(213278, 2865, 258588, 11705); 67800; 1; 32000; 1; 34000; 1
Rect(407588, 391860, 450499, 446370); 91200; 1; 29900; 1; 33000; 1
Rect(372003, 437023, 454787, 482729); 70500; 1; 37000; 1; 34500; 1
Rect(145951, 176619, 161209, 273933); 67000; 1; 30000; 1; 33400; 1
Rect(33880, 15230, 117790, 61911); 68000; 1; 29800; 1; 33500; 1
Rect(443950, 172987, 485426, 234396); 69800; 1; 28500; 1; 116600; 1
Rect(241609, 244802, 290067, 311944); 70400; 1; 28500; 1; 34700; 1
Rect(404661, 383871, 407258, 415984); 70000; 1; 38600; 1; 33400; 1
Rect(246192, 202800, 316291, 208020); 67200; 1; 46800; 1; 33200; 1
Rect(92401, 186328, 160036, 236156); 66200; 1; 38800; 1; 71400; 1
Rect(255161, 385907, 270308, 436945); 70100; 1; 28200; 1; 34900; 1
Rect(411094, 102263, 477612, 123747); 70800; 1; 29500; 1; 35900; 1
Rect(389639, 280308, 488159, 334629); 67700; 1; 28200; 1; 32800; 1
Rect(323702, 237635, 398904, 327811); 70800; 1; 28400; 1; 32600; 1
Rect(283779, 169071, 376672, 225734); 73000; 1; 28100; 1; 34900; 1
Rect(76353, 136069, 105792, 225284); 69000; 1; 28400; 1; 34000; 1
Rect(278120, 326601, 353967, 401002); 66300; 1; 28600; 1; 33000; 1
Rect(391815, 98124, 461993, 171811); 66400; 1; 94900; 1; 33000; 1
